,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value(£),Wage(£),Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height(cm.),Weight(lbs.),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Year_Joined
10,173210,C. Marchisio,30,https://cdn.sofifa.com/players/173/210/17_60.png,Italy,https://cdn.sofifa.com/flags/it.png,86,86,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,35000000.0,190000.0,2218,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,SUB,8.0,2007-06-01,None,2020.0,180.34,161,76.0,63.0,68.0,87.0,76.0,84.0,78.0,78.0,85.0,85.0,79.0,79.0,81.0,86.0,79.0,82.0,67.0,83.0,71.0,82.0,78.0,82.0,82.0,84.0,78.0,84.0,72.0,78.0,78.0,4.0,3.0,4.0,2.0,4.0,CM,84.0,2007
11,139997,D. Srna,34,https://cdn.sofifa.com/players/139/997/17_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,81,81,Shakhtar Donetsk,https://cdn.sofifa.com/teams/101059/light_30.png,4800000.0,2000.0,2217,Right,3.0,3.0,3.0,High/ High,Normal (170-185),No,RB,33.0,2003-07-01,None,2018.0,177.8,159,85.0,69.0,60.0,85.0,72.0,72.0,86.0,83.0,87.0,83.0,69.0,81.0,71.0,78.0,65.0,83.0,67.0,81.0,72.0,77.0,83.0,85.0,76.0,86.0,84.0,81.0,78.0,78.0,77.0,10.0,10.0,6.0,6.0,12.0,CM,82.0,2003
12,189332,Jordi Alba,27,https://cdn.sofifa.com/players/189/332/17_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,31500000.0,225000.0,2214,Left,3.0,3.0,3.0,High/ Medium,Normal (170-),Yes,LB,18.0,2012-07-01,None,2020.0,170.18,150,83.0,73.0,63.0,79.0,60.0,80.0,77.0,64.0,70.0,84.0,93.0,93.0,90.0,82.0,86.0,64.0,81.0,90.0,66.0,66.0,75.0,83.0,77.0,68.0,59.0,75.0,81.0,84.0,83.0,13.0,15.0,13.0,6.0,13.0,LWB,84.0,2012
13,146530,Dani Alves,33,https://cdn.sofifa.com/players/146/530/17_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,84,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,12500000.0,140000.0,2210,Right,4.0,3.0,3.0,High/ Low,Normal (170-185),Yes,RB,23.0,2016-07-01,None,2018.0,172.72,150,86.0,60.0,72.0,81.0,68.0,84.0,80.0,74.0,77.0,85.0,79.0,83.0,85.0,82.0,87.0,86.0,79.0,75.0,55.0,78.0,78.0,82.0,72.0,78.0,70.0,82.0,72.0,80.0,84.0,5.0,11.0,9.0,6.0,7.0,RWB,81.0,2016
14,162347,João Moutinho,29,https://cdn.sofifa.com/players/162/347/17_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,82,82,AS Monaco,https://cdn.sofifa.com/teams/69/light_30.png,18500000.0,70000.0,2204,Right,3.0,4.0,3.0,High/ Medium,Normal (170-),No,SUB,8.0,2013-07-01,None,2018.0,170.18,134,77.0,73.0,68.0,83.0,77.0,81.0,82.0,79.0,81.0,82.0,75.0,67.0,81.0,81.0,84.0,77.0,77.0,85.0,64.0,82.0,74.0,73.0,74.0,82.0,70.0,86.0,68.0,72.0,66.0,13.0,15.0,15.0,13.0,13.0,CM,80.0,2013
15,191740,Ander Herrera,26,https://cdn.sofifa.com/players/191/740/17_60.png,Spain,https://cdn.sofifa.com/flags/es.png,84,84,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,29500000.0,170000.0,2203,Right,2.0,4.0,4.0,High/ High,Lean (170-185),Yes,RDM,21.0,2014-06-26,None,2018.0,182.88,161,74.0,71.0,60.0,86.0,67.0,81.0,80.0,65.0,80.0,86.0,79.0,68.0,85.0,85.0,84.0,72.0,63.0,88.0,67.0,72.0,87.0,84.0,78.0,86.0,79.0,82.0,76.0,76.0,71.0,9.0,12.0,15.0,9.0,8.0,CM,83.0,2014
16,193352,R. Rodríguez,23,https://cdn.sofifa.com/players/193/352/17_60.png,Switzerland,https://cdn.sofifa.com/flags/ch.png,80,83,VfL Wolfsburg,https://cdn.sofifa.com/teams/175/light_30.png,15500000.0,60000.0,2203,Left,3.0,3.0,3.0,Medium/ Medium,Normal (170-185),No,SUB,34.0,2012-01-13,None,2019.0,180.34,170,87.0,59.0,68.0,80.0,67.0,77.0,82.0,84.0,80.0,80.0,73.0,74.0,74.0,81.0,73.0,78.0,75.0,76.0,73.0,72.0,77.0,82.0,68.0,74.0,83.0,81.0,77.0,80.0,83.0,14.0,13.0,14.0,14.0,11.0,LWB,80.0,2012
17,189125,G. Bonaventura,26,https://cdn.sofifa.com/players/189/125/17_60.png,Italy,https://cdn.sofifa.com/flags/it.png,83,83,Milan,https://cdn.sofifa.com/teams/47/light_30.png,24000000.0,70000.0,2203,Right,2.0,3.0,3.0,High/ Medium,Lean (170-185),No,RES,5.0,2014-09-01,None,2019.0,180.34,165,82.0,75.0,58.0,83.0,78.0,84.0,78.0,78.0,81.0,84.0,81.0,81.0,79.0,83.0,77.0,84.0,69.0,88.0,69.0,85.0,66.0,73.0,79.0,81.0,68.0,82.0,58.0,73.0,68.0,10.0,14.0,7.0,15.0,14.0,RM,82.0,2014
18,176676,Marcelo,28,https://cdn.sofifa.com/players/176/676/17_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,86,86,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,30000000.0,250000.0,2201,Left,4.0,4.0,4.0,High/ Medium,Normal (170-185),Yes,LB,12.0,2007-01-01,None,2020.0,175.26,165,87.0,67.0,70.0,81.0,54.0,83.0,80.0,67.0,76.0,87.0,77.0,80.0,77.0,85.0,82.0,83.0,77.0,82.0,77.0,66.0,84.0,83.0,75.0,75.0,59.0,76.0,80.0,84.0,87.0,12.0,5.0,5.0,5.0,9.0,LWB,84.0,2007
19,210896,M. Sanson,21,https://cdn.sofifa.com/players/210/896/17_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,87,Olympique de Marseille,https://cdn.sofifa.com/teams/219/light_30.png,20000000.0,40000.0,2199,Right,2.0,4.0,3.0,High/ Medium,Lean (170-185),No,LCM,8.0,2017-01-18,None,2021.0,180.34,159,79.0,75.0,69.0,83.0,70.0,81.0,75.0,70.0,82.0,80.0,77.0,77.0,83.0,79.0,69.0,79.0,75.0,79.0,76.0,72.0,76.0,81.0,74.0,83.0,68.0,75.0,73.0,82.0,76.0,6.0,16.0,16.0,9.0,9.0,CM,80.0,2017
20,219683,C. Tolisso,21,https://cdn.sofifa.com/players/219/683/17_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,88,Olympique Lyonnais,https://cdn.sofifa.com/teams/66/light_30.png,23500000.0,40000.0,2197,Right,1.0,3.0,3.0,High/ Medium,Normal (170-185),Yes,LCM,8.0,2013-08-01,None,2020.0,180.34,172,67.0,75.0,82.0,83.0,62.0,77.0,66.0,73.0,82.0,78.0,74.0,75.0,74.0,82.0,73.0,82.0,89.0,86.0,79.0,78.0,81.0,76.0,79.0,79.0,70.0,74.0,72.0,78.0,71.0,7.0,10.0,14.0,9.0,14.0,CM,80.0,2013
21,171875,C. Erkin,27,https://cdn.sofifa.com/players/171/875/17_60.png,Turkey,https://cdn.sofifa.com/flags/tr.png,77,77,Beşiktaş JK,https://cdn.sofifa.com/teams/327/light_30.png,5500000.0,60000.0,2195,Left,2.0,2.0,3.0,High/ Medium,Lean (170-185),No,SUB,88.0,2017-07-01,None,2020.0,180.34,168,84.0,67.0,62.0,74.0,76.0,82.0,84.0,84.0,74.0,78.0,83.0,83.0,78.0,78.0,70.0,81.0,78.0,84.0,66.0,80.0,88.0,72.0,79.0,72.0,74.0,77.0,65.0,73.0,73.0,11.0,12.0,10.0,7.0,13.0,LM,79.0,2017
22,20289,Y. Touré,33,https://cdn.sofifa.com/players/020/289/17_60.png,Ivory Coast,https://cdn.sofifa.com/flags/ci.png,84,84,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,18000000.0,190000.0,2189,Right,4.0,4.0,3.0,Medium/ Medium,Lean (185+),Yes,CDM,42.0,2010-07-02,None,2018.0,187.96,198,67.0,82.0,74.0,86.0,68.0,79.0,80.0,85.0,83.0,82.0,69.0,74.0,60.0,82.0,55.0,86.0,65.0,74.0,91.0,85.0,78.0,60.0,80.0,85.0,89.0,83.0,66.0,76.0,75.0,13.0,14.0,6.0,12.0,8.0,CAM,81.0,2010
23,167905,A. Valencia,30,https://cdn.sofifa.com/players/167/905/17_60.png,Ecuador,https://cdn.sofifa.com/flags/ec.png,82,82,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,14000000.0,120000.0,2188,Right,2.0,1.0,3.0,High/ Medium,Stocky (170-185),Yes,RB,25.0,2009-06-30,None,2018.0,180.34,172,85.0,58.0,64.0,77.0,69.0,82.0,69.0,66.0,69.0,81.0,88.0,86.0,74.0,85.0,87.0,85.0,68.0,89.0,85.0,62.0,85.0,81.0,78.0,71.0,55.0,85.0,79.0,82.0,77.0,16.0,11.0,10.0,7.0,7.0,RWB,82.0,2009
24,183711,J. Henderson,26,https://cdn.sofifa.com/players/183/711/17_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,82,84,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,20000000.0,110000.0,2187,Right,2.0,3.0,3.0,High/ High,Normal (170-185),Yes,CDM,14.0,2011-06-09,None,2020.0,182.88,148,81.0,67.0,65.0,85.0,72.0,74.0,80.0,74.0,83.0,80.0,76.0,73.0,74.0,79.0,71.0,75.0,81.0,93.0,76.0,71.0,80.0,79.0,74.0,82.0,64.0,78.0,73.0,80.0,76.0,7.0,13.0,7.0,9.0,13.0,CDM,81.0,2011
25,187457,C. Noboa,31,https://cdn.sofifa.com/players/187/457/17_60.png,Ecuador,https://cdn.sofifa.com/flags/ec.png,80,80,FC Rostov,https://cdn.sofifa.com/teams/110231/light_30.png,11500000.0,50000.0,2184,Right,2.0,3.0,2.0,High/ High,Normal (170-185),No,LCM,16.0,2015-07-29,None,2017.0,182.88,165,78.0,67.0,75.0,83.0,63.0,78.0,76.0,82.0,80.0,80.0,73.0,73.0,77.0,74.0,66.0,75.0,79.0,91.0,71.0,78.0,68.0,74.0,75.0,81.0,80.0,62.0,77.0,75.0,75.0,15.0,8.0,11.0,15.0,11.0,CM,79.0,2015
26,185103,A. Kolarov,30,https://cdn.sofifa.com/players/185/103/17_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,80,80,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,10000000.0,120000.0,2183,Left,2.0,3.0,2.0,Medium/ High,Normal (185+),Yes,SUB,11.0,2010-07-24,None,2018.0,187.96,183,90.0,55.0,79.0,73.0,64.0,78.0,85.0,81.0,77.0,74.0,69.0,66.0,64.0,79.0,58.0,91.0,81.0,77.0,78.0,80.0,84.0,80.0,69.0,76.0,74.0,85.0,75.0,83.0,82.0,16.0,15.0,8.0,16.0,6.0,CB,79.0,2010
27,162240,M. Dembélé,28,https://cdn.sofifa.com/players/162/240/17_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,82,82,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,19000000.0,110000.0,2183,Left,3.0,2.0,4.0,Medium/ Medium,Normal (185+),Yes,LDM,19.0,2012-08-01,None,2019.0,185.42000000000002,194,65.0,66.0,69.0,84.0,77.0,86.0,65.0,55.0,79.0,86.0,78.0,77.0,83.0,80.0,74.0,85.0,77.0,82.0,90.0,72.0,74.0,78.0,71.0,77.0,67.0,86.0,68.0,80.0,67.0,16.0,14.0,11.0,16.0,14.0,CM,80.0,2012
28,184826,Adrien Silva,27,https://cdn.sofifa.com/players/184/826/17_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,83,83,Sporting CP,https://cdn.sofifa.com/teams/237/light_30.png,23000000.0,20000.0,2179,Right,2.0,4.0,3.0,Medium/ High,Normal (170-185),No,SUB,23.0,2017-09-11,None,2026.0,175.26,152,78.0,71.0,61.0,83.0,78.0,82.0,77.0,78.0,84.0,85.0,64.0,65.0,73.0,77.0,67.0,83.0,56.0,89.0,62.0,81.0,79.0,84.0,75.0,85.0,85.0,82.0,80.0,78.0,73.0,15.0,6.0,8.0,10.0,7.0,CM,82.0,2017
29,184941,A. Sánchez,27,https://cdn.sofifa.com/players/184/941/17_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,88,88,Arsenal,https://cdn.sofifa.com/teams/1/light_30.png,55000000.0,275000.0,2176,Right,4.0,3.0,4.0,High/ High,Normal (170-),Yes,LM,7.0,2014-07-10,None,2018.0,170.18,137,80.0,85.0,70.0,80.0,83.0,89.0,78.0,78.0,73.0,86.0,88.0,84.0,90.0,87.0,87.0,84.0,85.0,85.0,72.0,81.0,80.0,42.0,86.0,82.0,77.0,82.0,30.0,39.0,35.0,10.0,10.0,15.0,12.0,13.0,ST,85.0,2014
30,191043,Alex Sandro,25,https://cdn.sofifa.com/players/191/043/17_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,87,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,29500000.0,140000.0,2176,Left,3.0,3.0,3.0,High/ High,Normal (170-185),No,LB,12.0,2015-08-21,None,2020.0,180.34,179,86.0,57.0,72.0,79.0,68.0,82.0,78.0,59.0,69.0,81.0,83.0,89.0,79.0,80.0,79.0,78.0,79.0,93.0,79.0,72.0,70.0,82.0,72.0,70.0,60.0,80.0,76.0,82.0,82.0,7.0,7.0,9.0,12.0,5.0,LWB,83.0,2015
31,179846,S. Khedira,29,https://cdn.sofifa.com/players/179/846/17_60.png,Germany,https://cdn.sofifa.com/flags/de.png,84,84,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,26500000.0,170000.0,2175,Right,3.0,4.0,2.0,High/ High,Normal (185+),Yes,LDM,6.0,2015-07-01,None,2019.0,187.96,196,72.0,70.0,76.0,85.0,76.0,78.0,68.0,68.0,81.0,81.0,63.0,69.0,59.0,86.0,55.0,84.0,69.0,79.0,91.0,80.0,82.0,86.0,80.0,80.0,69.0,84.0,76.0,86.0,78.0,11.0,9.0,5.0,15.0,8.0,CDM,83.0,2015
32,170890,B. Matuidi,29,https://cdn.sofifa.com/players/170/890/17_60.png,France,https://cdn.sofifa.com/flags/fr.png,85,85,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,25000000.0,120000.0,2174,Left,3.0,2.0,2.0,High/ High,Lean (170-185),Yes,LCM,14.0,2011-07-01,None,2018.0,175.26,154,75.0,65.0,73.0,84.0,72.0,73.0,65.0,52.0,79.0,77.0,79.0,79.0,77.0,84.0,79.0,74.0,83.0,94.0,78.0,66.0,85.0,85.0,68.0,75.0,56.0,85.0,83.0,85.0,81.0,8.0,11.0,5.0,10.0,14.0,CDM,83.0,2011
33,189509,Thiago,25,https://cdn.sofifa.com/players/189/509/17_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,88,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,46000000.0,170000.0,2171,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),Yes,RDM,6.0,2013-07-14,None,2021.0,175.26,154,72.0,69.0,58.0,90.0,90.0,90.0,83.0,77.0,87.0,91.0,77.0,68.0,90.0,84.0,85.0,75.0,75.0,74.0,59.0,82.0,57.0,74.0,83.0,85.0,75.0,81.0,49.0,64.0,62.0,6.0,11.0,7.0,9.0,13.0,CAM,85.0,2013
34,171877,M. Hamšik,28,https://cdn.sofifa.com/players/171/877/17_60.png,Slovakia,https://cdn.sofifa.com/flags/sk.png,86,86,Napoli,https://cdn.sofifa.com/teams/48/light_30.png,37500000.0,130000.0,2171,Right,3.0,4.0,3.0,High/ Medium,Normal (170-185),Yes,LCM,17.0,2007-07-01,None,2020.0,182.88,174,78.0,78.0,74.0,87.0,79.0,85.0,80.0,72.0,81.0,86.0,75.0,77.0,76.0,87.0,63.0,79.0,72.0,85.0,69.0,82.0,56.0,70.0,85.0,86.0,70.0,84.0,60.0,71.0,62.0,8.0,6.0,4.0,14.0,14.0,CAM,84.0,2007
35,180206,M. Pjanić,26,https://cdn.sofifa.com/players/180/206/17_60.png,Bosnia Herzegovina,https://cdn.sofifa.com/flags/ba.png,85,86,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,37500000.0,160000.0,2170,Right,3.0,4.0,4.0,Medium/ Medium,Normal (170-185),Yes,RDM,5.0,2016-07-01,None,2021.0,180.34,154,80.0,70.0,60.0,89.0,71.0,86.0,86.0,91.0,85.0,89.0,75.0,75.0,79.0,84.0,79.0,79.0,61.0,79.0,65.0,84.0,62.0,70.0,74.0,88.0,79.0,84.0,60.0,64.0,64.0,7.0,7.0,13.0,7.0,8.0,CAM,84.0,2016
36,135507,Fernandinho,31,https://cdn.sofifa.com/players/135/507/17_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,82,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,13000000.0,130000.0,2169,Right,3.0,4.0,3.0,Medium/ High,Lean (170-185),Yes,SUB,25.0,2013-07-01,None,2018.0,177.8,148,68.0,70.0,55.0,82.0,76.0,78.0,70.0,71.0,81.0,76.0,77.0,77.0,79.0,82.0,79.0,83.0,72.0,82.0,73.0,81.0,87.0,86.0,68.0,75.0,61.0,64.0,73.0,81.0,78.0,12.0,11.0,5.0,13.0,7.0,CDM,80.0,2013
37,187961,Paulinho,27,https://cdn.sofifa.com/players/187/961/17_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,81,81,AS Monaco,https://cdn.sofifa.com/flags/br.png,0.0,0.0,2168,Right,3.0,3.0,3.0,High/ High,Normal (170-185),Yes,RCM,15.0,2017-09-11,None,2026.0,180.34,165,64.0,72.0,80.0,81.0,75.0,77.0,66.0,72.0,76.0,81.0,76.0,76.0,70.0,81.0,64.0,79.0,88.0,92.0,69.0,76.0,69.0,78.0,75.0,75.0,71.0,79.0,77.0,78.0,73.0,16.0,16.0,11.0,6.0,8.0,CM,79.0,2017
38,209658,L. Goretzka,21,https://cdn.sofifa.com/players/209/658/17_60.png,Germany,https://cdn.sofifa.com/flags/de.png,81,87,FC Schalke 04,https://cdn.sofifa.com/teams/34/light_30.png,23000000.0,30000.0,2168,Right,2.0,4.0,3.0,High/ High,Lean (185+),No,CAM,8.0,2013-07-02,None,2018.0,187.96,174,72.0,68.0,73.0,82.0,68.0,79.0,76.0,72.0,78.0,81.0,79.0,84.0,76.0,82.0,72.0,76.0,67.0,86.0,68.0,77.0,84.0,82.0,75.0,78.0,51.0,77.0,71.0,77.0,78.0,13.0,8.0,15.0,11.0,9.0,CM,80.0,2013
39,138412,J. Milner,30,https://cdn.sofifa.com/players/138/412/17_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,80,80,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,10000000.0,110000.0,2168,Right,2.0,4.0,3.0,High/ High,Stocky (170-185),Yes,LB,7.0,2015-07-01,None,2021.0,175.26,154,85.0,68.0,69.0,84.0,79.0,77.0,81.0,77.0,81.0,78.0,71.0,69.0,73.0,84.0,73.0,85.0,64.0,91.0,73.0,79.0,77.0,76.0,77.0,77.0,83.0,86.0,76.0,77.0,79.0,1.0,1.0,1.0,1.0,1.0,CM,80.0,2015
40,189712,K. Strootman,26,https://cdn.sofifa.com/players/189/712/17_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,84,85,Roma,https://cdn.sofifa.com/teams/52/light_30.png,32500000.0,100000.0,2168,Left,3.0,3.0,3.0,High/ High,Normal (185+),No,LCM,6.0,2013-07-16,None,2022.0,185.42000000000002,172,74.0,68.0,68.0,86.0,63.0,76.0,75.0,74.0,83.0,85.0,66.0,69.0,66.0,84.0,68.0,85.0,55.0,79.0,84.0,78.0,86.0,84.0,78.0,84.0,77.0,85.0,72.0,83.0,75.0,7.0,12.0,11.0,6.0,7.0,CM,83.0,2013
