,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value(£),Wage(£),Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Joined,Loaned From,Contract Valid Until,Height(cm.),Weight(lbs.),Release Clause(£),Kit Number,Best Overall Rating,Year_Joined
10,228251,L. Pellegrini,26,https://cdn.sofifa.net/players/228/251/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,87,Roma,https://cdn.sofifa.net/teams/52/30.png,55000000.0,95000.0,2258,Right,2.0,4.0,3.0,High/ High,Lean (185+),Yes,RCM,2017-07-01,None,2026.0,186.0,169.785,97600000.0,7.0,0.0,2017
11,177003,L. Modrić,36,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,88,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,29000000.0,230000.0,2257,Right,4.0,4.0,4.0,Medium/ Medium,Lean (170-185),Yes,RCM,2012-08-01,None,2023.0,172.0,145.53,59500000.0,10.0,0.0,2012
12,223848,S. Milinković-Savić,27,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,86,87,Lazio,https://cdn.sofifa.net/teams/46/30.png,77500000.0,90000.0,2250,Right,3.0,5.0,4.0,High/ Medium,Normal (185+),Yes,RCM,2015-08-06,None,2024.0,191.0,167.58,137600000.0,21.0,0.0,2015
13,225193,Merino,26,https://cdn.sofifa.net/players/225/193/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,86,Real Sociedad,https://cdn.sofifa.net/teams/457/30.png,47000000.0,49000.0,2247,Left,1.0,3.0,3.0,High/ High,Normal (185+),Yes,LCM,2018-07-12,None,2025.0,189.0,183.01500000000001,102200000.0,8.0,0.0,2018
14,226161,Marcos Llorente,27,https://cdn.sofifa.net/players/226/161/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,84,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,48000000.0,81000.0,2244,Right,3.0,4.0,3.0,High/ Medium,Lean (170-185),Yes,RCM,2019-07-01,None,2027.0,184.0,163.17000000000002,102000000.0,14.0,0.0,2019
15,212616,R. De Paul,28,https://cdn.sofifa.net/players/212/616/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,84,84,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,42000000.0,85000.0,2240,Right,1.0,3.0,4.0,High/ Medium,Normal (170-185),No,SUB,2021-07-12,None,2026.0,180.0,154.35,86100000.0,5.0,0.0,2021
16,181458,I. Perišić,33,https://cdn.sofifa.net/players/181/458/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,84,84,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,26500000.0,130000.0,2238,Right,3.0,5.0,4.0,High/ Medium,Lean (185+),Yes,SUB,2022-07-01,None,2024.0,186.0,176.4,50400000.0,14.0,0.0,2022
17,228702,F. de Jong,25,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,116500000.0,230000.0,2238,Right,3.0,3.0,4.0,High/ Medium,Unique,Yes,RCM,2019-07-01,None,2026.0,180.0,163.17000000000002,247600000.0,21.0,0.0,2019
18,194765,A. Griezmann,31,https://cdn.sofifa.net/players/194/765/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,30500000.0,185000.0,2235,Left,4.0,3.0,4.0,Medium/ Medium,Unique,Yes,RS,2022-08-11,FC Barcelona,2023.0,176.0,160.965,1300000.0,8.0,0.0,2022
19,193082,J. Cuadrado,34,https://cdn.sofifa.net/players/193/082/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,83,83,Juventus,https://cdn.sofifa.net/teams/45/30.png,13500000.0,120000.0,2234,Right,3.0,3.0,5.0,High/ Medium,Lean (170-185),Yes,RB,2017-07-01,None,2023.0,179.0,158.76,23000000.0,11.0,0.0,2017
20,208574,F. Kostić,29,https://cdn.sofifa.net/players/208/574/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,85,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,53000000.0,56000.0,2234,Left,3.0,2.0,3.0,High/ High,Normal (170-185),Yes,LM,2019-05-17,None,2023.0,184.0,185.22,90100000.0,10.0,0.0,2019
21,231281,T. Alexander-Arnold,23,https://cdn.sofifa.net/players/231/281/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,87,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,100500000.0,150000.0,2234,Right,3.0,4.0,3.0,High/ Medium,Unique,Yes,RB,2015-10-07,None,2025.0,180.0,152.145,193500000.0,66.0,0.0,2015
22,176580,L. Suárez,35,https://cdn.sofifa.net/players/176/580/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,84,84,Club Nacional de Football,https://cdn.sofifa.net/teams/111325/30.png,18000000.0,1000.0,2231,Right,4.0,4.0,3.0,High/ Medium,Unique,Yes,LS,2022-07-28,None,2022.0,182.0,189.63,39600000.0,9.0,0.0,2022
23,235212,A. Hakimi,23,https://cdn.sofifa.net/players/235/212/23_60.png,Morocco,https://cdn.sofifa.net/flags/ma.png,84,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,53500000.0,90000.0,2229,Right,2.0,4.0,4.0,High/ Medium,Lean (170-185),Yes,RWB,2021-07-06,None,2026.0,181.0,160.965,103000000.0,2.0,0.0,2021
24,216352,M. Brozović,29,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,86,86,Inter,https://cdn.sofifa.net/teams/44/30.png,58000000.0,110000.0,2227,Right,3.0,4.0,3.0,Medium/ Medium,Lean (170-185),Yes,CDM,2016-07-01,None,2026.0,181.0,149.94,95700000.0,77.0,0.0,2016
25,209331,M. Salah,30,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,115500000.0,270000.0,2226,Left,4.0,3.0,4.0,High/ Medium,Unique,Yes,RW,2017-07-01,None,2023.0,175.0,156.555,213700000.0,11.0,0.0,2017
26,241096,S. Tonali,22,https://cdn.sofifa.net/players/241/096/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,62500000.0,75000.0,2225,Right,1.0,4.0,3.0,Medium/ High,Unique,Yes,RCM,2021-07-08,None,2026.0,181.0,174.195,118800000.0,8.0,0.0,2021
27,189509,Thiago,31,https://cdn.sofifa.net/players/189/509/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,86,Liverpool,https://cdn.sofifa.net/teams/9/30.png,55500000.0,180000.0,2225,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),Yes,LCM,2020-09-18,None,2024.0,174.0,154.35,102700000.0,6.0,0.0,2020
28,238074,R. James,22,https://cdn.sofifa.net/players/238/074/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,84,88,Chelsea,https://cdn.sofifa.net/teams/5/30.png,57000000.0,120000.0,2225,Right,2.0,3.0,3.0,High/ Medium,Stocky (170-185),Yes,RWB,2017-03-03,None,2025.0,178.0,191.835,109700000.0,24.0,0.0,2017
29,189332,Jordi Alba,33,https://cdn.sofifa.net/players/189/332/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,85,85,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,28000000.0,190000.0,2218,Left,3.0,3.0,3.0,High/ Medium,Unique,Yes,LB,2012-07-01,None,2024.0,170.0,149.94,57400000.0,18.0,0.0,2012
30,213565,T. Lemar,26,https://cdn.sofifa.net/players/213/565/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,83,86,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,47000000.0,74000.0,2215,Left,3.0,3.0,4.0,High/ High,Lean (170-185),Yes,SUB,2018-07-01,None,2023.0,171.0,138.915,99900000.0,11.0,0.0,2018
31,230767,Renato Sanches,24,https://cdn.sofifa.net/players/230/767/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,80,86,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,33000000.0,72000.0,2215,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,SUB,2022-08-04,None,2027.0,176.0,154.35,67700000.0,11.0,0.0,2022
32,190286,Canales,31,https://cdn.sofifa.net/players/190/286/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,84,84,Real Betis Balompié,https://cdn.sofifa.net/teams/449/30.png,35000000.0,42000.0,2213,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),Yes,RM,2018-07-03,None,2026.0,176.0,143.32500000000002,73500000.0,10.0,0.0,2018
33,226754,I. Bennacer,24,https://cdn.sofifa.net/players/226/754/23_60.png,Algeria,https://cdn.sofifa.net/flags/dz.png,82,86,AC Milan,https://cdn.sofifa.net/teams/47/30.png,40000000.0,63000.0,2213,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),No,LCM,2019-08-04,None,2024.0,175.0,154.35,71000000.0,4.0,0.0,2019
34,212462,Alex Telles,29,https://cdn.sofifa.net/players/212/462/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,80,80,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,18500000.0,110000.0,2213,Left,3.0,2.0,3.0,High/ Low,Unique,Yes,SUB,2022-08-11,Manchester United,2023.0,181.0,156.555,1300000.0,3.0,0.0,2022
35,231969,R. Malinovskyi,29,https://cdn.sofifa.net/players/231/969/23_60.png,Ukraine,https://cdn.sofifa.net/flags/ua.png,82,82,Atalanta,https://cdn.sofifa.net/teams/39/30.png,30500000.0,73000.0,2213,Left,3.0,4.0,4.0,Medium/ Medium,Stocky (170-185),No,LF,2019-07-16,None,2023.0,181.0,174.195,51900000.0,18.0,0.0,2019
36,238744,W. McKennie,23,https://cdn.sofifa.net/players/238/744/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,80,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,31500000.0,90000.0,2212,Right,2.0,3.0,3.0,High/ High,Normal (170-185),Yes,LCM,2021-07-01,None,2025.0,183.0,185.22,55900000.0,14.0,0.0,2021
37,200145,Casemiro,30,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,86000000.0,300000.0,2209,Right,3.0,3.0,2.0,Medium/ High,Unique,Yes,CDM,2013-07-11,None,2025.0,185.0,185.22,176300000.0,14.0,0.0,2013
38,220651,Angeliño,25,https://cdn.sofifa.net/players/220/651/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,85,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,42000000.0,64000.0,2209,Left,2.0,3.0,4.0,High/ High,Normal (170-185),No,LWB,2022-08-11,RB Leipzig,2023.0,171.0,152.145,1300000.0,11.0,0.0,2022
39,230938,F. Kessié,25,https://cdn.sofifa.net/players/230/938/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,84,86,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,47500000.0,165000.0,2206,Right,3.0,4.0,3.0,High/ High,Normal (170-185),Yes,SUB,2022-07-04,None,2026.0,183.0,194.04000000000002,100900000.0,19.0,0.0,2022
40,200458,L. Digne,28,https://cdn.sofifa.net/players/200/458/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,82,82,Aston Villa,https://cdn.sofifa.net/teams/2/30.png,27500000.0,100000.0,2206,Left,2.0,2.0,3.0,High/ Medium,Unique,Yes,LB,2022-01-13,None,2026.0,178.0,163.17000000000002,52300000.0,27.0,0.0,2022
41,188545,R. Lewandowski,33,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,91,91,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,84000000.0,420000.0,2205,Right,5.0,4.0,4.0,High/ Medium,Unique,Yes,ST,2022-07-18,None,2025.0,185.0,178.60500000000002,172200000.0,9.0,0.0,2022
42,181872,22 A. Vidal,34,https://cdn.sofifa.net/players/181/872/22_60.png,Chile,https://cdn.sofifa.net/flags/cl.png,81,81,Inter,https://cdn.sofifa.net/teams/44/30.png,12000000.0,105000.0,2199,Right,4.0,4.0,3.0,High/ High,Unique,Yes,SUB,2020-09-22,None,2023.0,180.0,165.375,20400000.0,22.0,0.0,2020
43,240699,N. De la Cruz,25,https://cdn.sofifa.net/players/240/699/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,78,79,River Plate,https://cdn.sofifa.net/teams/1876/30.png,16500000.0,19000.0,2197,Right,1.0,4.0,4.0,High/ High,Normal (170-),No,RM,2017-08-15,None,2022.0,167.0,143.32500000000002,24300000.0,11.0,0.0,2017
44,232411,C. Nkunku,24,https://cdn.sofifa.net/players/232/411/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,94000000.0,90000.0,2196,Right,3.0,3.0,5.0,High/ Medium,Normal (170-185),Yes,SUB,2022-08-11,None,2031.0,175.0,160.965,166900000.0,12.0,0.0,2022
45,188377,K. Walker,32,https://cdn.sofifa.net/players/188/377/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,37500000.0,170000.0,2196,Right,3.0,2.0,3.0,High/ High,Unique,Yes,RB,2017-07-14,None,2024.0,183.0,183.01500000000001,69400000.0,2.0,0.0,2017
46,232656,T. Hernández,24,https://cdn.sofifa.net/players/232/656/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,85,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,76000000.0,82000.0,2195,Left,3.0,3.0,3.0,High/ Medium,Unique,Yes,LB,2019-07-05,None,2026.0,184.0,178.60500000000002,134900000.0,19.0,0.0,2019
47,186942,İ. Gündoğan,31,https://cdn.sofifa.net/players/186/942/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,44000000.0,185000.0,2195,Right,3.0,4.0,4.0,High/ Medium,Normal (170-185),Yes,SUB,2016-07-01,None,2023.0,180.0,176.4,81400000.0,8.0,0.0,2016
48,214097,B. Bourigeaud,28,https://cdn.sofifa.net/players/214/097/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,81,81,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,26000000.0,66000.0,2194,Right,2.0,3.0,3.0,High/ High,Lean (170-185),No,RW,2017-06-14,None,2023.0,178.0,149.94,49400000.0,14.0,0.0,2017
49,223697,R. Gosens,27,https://cdn.sofifa.net/players/223/697/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,82,82,Inter,https://cdn.sofifa.net/teams/44/30.png,29500000.0,59000.0,2193,Left,3.0,3.0,3.0,High/ Medium,Normal (170-185),Yes,LM,2022-08-11,Atalanta,2023.0,183.0,167.58,1300000.0,8.0,0.0,2022
50,181291,G. Wijnaldum,31,https://cdn.sofifa.net/players/181/291/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,80,80,Roma,https://cdn.sofifa.net/teams/52/30.png,17500000.0,83000.0,2193,Right,3.0,4.0,3.0,High/ High,Unique,Yes,LCM,2022-08-11,Paris Saint-Germain,2023.0,175.0,163.17000000000002,1300000.0,25.0,0.0,2022
51,219683,C. Tolisso,27,https://cdn.sofifa.net/players/219/683/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,81,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,27500000.0,75000.0,2193,Right,3.0,3.0,3.0,High/ Medium,Normal (170-185),Yes,RCM,2022-07-01,None,2027.0,181.0,178.60500000000002,52300000.0,88.0,0.0,2022
52,202126,H. Kane,28,https://cdn.sofifa.net/players/202/126/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,89,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,105500000.0,240000.0,2193,Right,4.0,5.0,3.0,High/ High,Unique,Yes,ST,2010-07-28,None,2024.0,188.0,196.245,200500000.0,10.0,0.0,2010
53,193747,Koke,30,https://cdn.sofifa.net/players/193/747/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,34500000.0,74000.0,2192,Right,3.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,LCM,2011-01-01,None,2024.0,176.0,169.785,70700000.0,6.0,0.0,2011
54,195479,J. Tavernier,30,https://cdn.sofifa.net/players/195/479/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,78,78,Rangers FC,https://cdn.sofifa.net/teams/86/30.png,12000000.0,51000.0,2191,Right,1.0,3.0,3.0,High/ Medium,Lean (185+),Yes,RB,2015-07-20,None,2024.0,182.0,165.375,21600000.0,2.0,0.0,2015
55,183711,J. Henderson,32,https://cdn.sofifa.net/players/183/711/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,83,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,28500000.0,135000.0,2190,Right,3.0,3.0,3.0,High/ High,Normal (170-185),Yes,RCM,2011-06-09,None,2025.0,182.0,176.4,52700000.0,14.0,0.0,2011
56,158023,L. Messi,35,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,91,91,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,54000000.0,195000.0,2190,Left,5.0,4.0,4.0,Low/ Low,Unique,Yes,RW,2021-08-10,None,2023.0,169.0,147.735,99900000.0,30.0,0.0,2021
57,199556,M. Verratti,29,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,87,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,77500000.0,155000.0,2189,Right,3.0,4.0,4.0,Medium/ High,Unique,Yes,RCM,2012-07-18,None,2024.0,165.0,132.3,143400000.0,6.0,0.0,2012
58,214047,M. Uribe,31,https://cdn.sofifa.net/players/214/047/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,81,81,FC Porto,https://cdn.sofifa.net/teams/236/30.png,21000000.0,19000.0,2189,Right,1.0,4.0,3.0,Medium/ High,Normal (170-185),Yes,RCM,2019-08-05,None,2023.0,183.0,169.785,42000000.0,8.0,0.0,2019
59,239053,F. Valverde,23,https://cdn.sofifa.net/players/239/053/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,84,90,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,66000000.0,175000.0,2188,Right,1.0,4.0,3.0,High/ High,Unique,Yes,SUB,2016-07-22,None,2027.0,182.0,171.99,148500000.0,15.0,0.0,2016
60,208722,S. Mané,30,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,89,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,99500000.0,145000.0,2188,Right,4.0,4.0,4.0,High/ Medium,Unique,Yes,ST,2022-07-01,None,2025.0,174.0,152.145,164200000.0,17.0,0.0,2022
61,205632,L. Ocampos,27,https://cdn.sofifa.net/players/205/632/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,27500000.0,39000.0,2188,Right,2.0,3.0,4.0,High/ High,Normal (185+),No,SUB,2019-07-03,None,2024.0,188.0,185.22,57800000.0,5.0,0.0,2019
62,233927,Lucas Paquetá,24,https://cdn.sofifa.net/players/233/927/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,82,87,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,46000000.0,70000.0,2188,Left,2.0,4.0,5.0,High/ High,Normal (170-185),Yes,LCM,2020-10-01,None,2025.0,180.0,158.76,90900000.0,10.0,0.0,2020
63,202648,Sergi Darder,28,https://cdn.sofifa.net/players/202/648/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,82,82,RCD Espanyol de Barcelona,https://cdn.sofifa.net/teams/452/30.png,30500000.0,30000.0,2188,Right,1.0,3.0,3.0,Medium/ Medium,Lean (170-185),Yes,CAM,2018-07-10,None,2023.0,180.0,156.555,64099999.99999999,10.0,0.0,2018
64,216393,Y. Tielemans,25,https://cdn.sofifa.net/players/216/393/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,84,86,Leicester City,https://cdn.sofifa.net/teams/95/30.png,52500000.0,115000.0,2187,Right,2.0,5.0,4.0,Medium/ Medium,Normal (170-185),Yes,RDM,2019-07-08,None,2023.0,176.0,158.76,103700000.0,8.0,0.0,2019
65,209297,Fred,29,https://cdn.sofifa.net/players/209/297/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,80,80,Manchester United,https://cdn.sofifa.net/teams/11/30.png,20500000.0,120000.0,2186,Left,3.0,3.0,4.0,High/ High,Lean (170-),Yes,CDM,2018-06-21,None,2023.0,169.0,136.71,39000000.0,17.0,0.0,2018
66,218667,Bernardo Silva,27,https://cdn.sofifa.net/players/218/667/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,97500000.0,260000.0,2185,Left,2.0,3.0,4.0,High/ High,Lean (170-185),Yes,LCM,2017-07-01,None,2025.0,173.0,141.12,180400000.0,20.0,0.0,2017
67,210035,Grimaldo,26,https://cdn.sofifa.net/players/210/035/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,82,85,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,36500000.0,19000.0,2184,Left,3.0,2.0,3.0,High/ Medium,Lean (170-185),Yes,LB,2016-01-04,None,2023.0,172.0,147.735,75700000.0,3.0,0.0,2016
68,234153,Carlos Soler,25,https://cdn.sofifa.net/players/234/153/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,88,Valencia CF,https://cdn.sofifa.net/teams/461/30.png,53000000.0,51000.0,2183,Right,2.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,LCM,2015-07-01,None,2023.0,180.0,167.58,115300000.0,10.0,0.0,2015
69,224458,Diogo Jota,25,https://cdn.sofifa.net/players/224/458/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,85,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,76000000.0,170000.0,2183,Right,2.0,5.0,4.0,High/ High,Normal (170-185),Yes,SUB,2020-09-19,None,2025.0,178.0,160.965,146300000.0,20.0,0.0,2020
70,252371,J. Bellingham,19,https://cdn.sofifa.net/players/252/371/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,84,91,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,81500000.0,41000.0,2182,Right,2.0,4.0,4.0,High/ High,Lean (185+),Yes,LDM,2020-07-23,None,2025.0,186.0,165.375,154900000.0,22.0,0.0,2020
71,201455,G. Kondogbia,29,https://cdn.sofifa.net/players/201/455/23_60.png,Central African Republic,https://cdn.sofifa.net/flags/cf.png,82,82,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,29500000.0,71000.0,2181,Left,2.0,3.0,3.0,Medium/ High,Lean (185+),Yes,CDM,2020-11-03,None,2024.0,188.0,176.4,60500000.0,4.0,0.0,2020
